ID,Name,Fat (g),Protein (g),Carbohydrate (g)
167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,13.24,5.88,41.18
167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,11.27,4.34,53.42
167514,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,3.7,6.1,79.8
167515,George Weston Bakeries Thomas English Muffins,1.8,8,46
167516,Waffles Buttermilk Frozen Ready-To-Heat,9.22,6.58,41.05
167517,Waffle Buttermilk Frozen Ready-To-Heat Toasted,9.49,7.42,48.39
167518,Waffle Buttermilk Frozen Ready-To-Heat Microwaved,9.4,6.92,44.16
167519,Waffle Plain Frozen Ready-To-Heat Microwave,9.91,6.71,45.41
167520,Pie Crust Cookie-Type Graham Cracker Ready Crust,24.83,5.1,64.3
167521,Pie Crust Cookie-Type Chocolate Ready Crust,22.42,6.08,64.48
167522,Dutch Apple Pie,11.5,2.17,44.54
167523,Pie Crust Deep Dish Frozen Unbaked Made With Enriched Flour,28.74,5.52,46.79
167524,Waffles Chocolate Chip Frozen Ready-To-Heat,10.1,5.8,45.68
167525,Tostada Shells Corn,23.38,6.15,64.43
167526,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),17.12,7.12,47.84
167527,Bread Pound Cake Type Pan De Torta Salvadoran,17.45,7.06,51.29
167528,Pastry Pastelitos De Guava (Guava Pastries),18.5,5.48,47.76
167529,Crackers Snack Goya Crackers,13.35,14.25,64.35
167530,Crackers Cream Gamesa Sabrosas,20.37,7.01,64.55
167531,Crackers Cream La Moderna Rikis Cream Crackers,19.5,7.19,64.88
167532,Bread White Wheat,2.15,10.66,43.91
167533,Bagels Wheat,1.53,10.2,48.89
167534,Cream Puff Eclair Custard Or Cream Filled Iced,18.52,4.41,37.43
167535,Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable,7.58,8.01,49.27
167536,Snacks Beef Jerky Chopped And Formed,25.6,33.2,11
167537,Snacks Corn-Based Extruded Chips Plain,33.36,6.17,57.27
167538,Snacks Corn-Based Extruded Chips Barbecue-Flavor,32.7,7,56.2
167539,Snacks Corn-Based Extruded Cones Plain,26.9,5.8,62.9
167540,Snacks Fruit Leather Pieces,2.68,1,82.82
167541,Snacks Fruit Leather Rolls,3,0.1,85.8
167542,Snacks Granola Bars Hard Plain,19.8,10.1,64.4
167543,Snacks Granola Bars Hard Almond,25.5,7.7,62
167544,Snacks Granola Bars Soft Uncoated Raisin,17.8,7.6,66.4
167545,Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip,24.9,5.8,63.8
167546,Honey-Combed With Peanut Butter,20.18,8.72,67.41
167547,Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter,31.1,10.2,53.4
167548,Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,20,9.8,62.2
167549,Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat,43.55,7.29,45.06
167550,Snacks Popcorn Cakes,3.1,9.7,80.1
167551,Snacks Popcorn Caramel-Coated With Peanuts,7.8,6.4,80.7
167552,Snacks Popcorn Caramel-Coated Without Peanuts,12.8,3.8,79.1
167553,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,26.14,4.56,64.76
167554,Snacks Potato Chips Made From Dried Potatoes Sour-Cream And Onion-Flavor,37,6.6,51.3
167555,Snacks Pretzels Hard Plain Salted,2.93,10.04,80.39
167556,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,16.7,7.5,70.9
167557,Snacks Rice Cakes Brown Rice Sesame Seed,3.8,7.6,81.5
167558,Snacks Tortilla Chips Plain White Corn Salted,20.68,7.1,67.78
167559,Snacks Tortilla Chips Nacho Cheese,27.42,7.36,60.81
167560,Snacks Tortilla Chips Ranch-Flavor,24.63,7.19,62.74
167561,Snacks Trail Mix Regular,29.4,13.8,44.9
167562,Almond Joy Candy Bar,26.93,4.13,59.51
167563,Twizzlers Cherry Bites,1.7,2.97,79.38
167564,Nestle Bit-O-Honey Candy Chews,7.5,2,80.89
167565,Nestle Butterfinger Bar,18.9,5.4,72.9
167566,Caramels Chocolate-Flavor Roll,3.31,1.59,87.73
167567,Baking Chocolate Unsweetened Liquid,47.7,12.1,36.2
167568,Unsweetened Baking Chocolate,52.31,14.32,28.42
167569,Confectioners Coating Yogurt,27,5.87,63.94
167570,Confectioners Coating Peanut Butter,29.8,18.3,46.88
167571,White Chocolate,32.09,5.87,59.24
167572,Ice Creams Vanilla Light,4.83,4.78,29.46
167573,Ice Creams Vanilla Rich,16.2,3.5,22.29
167574,Desserts Flan Caramel Custard Prepared-From-Recipe,4.03,4.53,22.78
167575,Ice Creams Vanilla,11,3.5,23.6
167576,Ice Creams Vanilla Light Soft-Serve,2.6,4.9,21.8
167577,Sherbet Orange,2,1.1,30.4
167578,Fudge Peanut Butter Prepared-From-Recipe,6.59,3.78,77.75
167579,Fudge Vanilla Prepared-From-Recipe,5.45,1.05,82.15
167580,Fudge Vanilla With Nuts,13.69,3,74.61
167581,Nestle Goobers Chocolate Covered Peanuts,34,9.7,53
167582,Nestle Baby Ruth Bar,21.6,5.4,64.8
167583,Twizzlers Strawberry Twists Candy,2.32,2.56,79.16
167584,Syrups Table Blends Pancake With Butter,0.09,0,72.43
167585,Ice Creams Chocolate Light,7.19,5,25.7
167586,Nestle Chunky Bar,27.5,7.5,60.4
167587,Milk Chocolate,29.66,7.65,59.4
167588,Puddings Banana Dry Mix Instant Prepared With 2% Milk,1.7,2.76,19.74
167589,Puddings Banana Dry Mix Regular Prepared With 2% Milk,1.73,2.9,18.43
167590,Andreas Gluten Free Soft Dinner Roll,8.2,5.65,40.24
167591,Crunchmaster Multi-Grain Crisps Snack Crackers Gluten-Free,15.92,10.91,67.18
167592,Glutino Gluten Free Cookies Chocolate Vanilla Creme,17.89,2.19,76.03
167593,Glutino Gluten Free Cookies Vanilla Creme,18.79,2.19,77.34
167594,Pepperidge Farm Goldfish Baked Snack Crackers Original,18.42,9.42,65.81
167595,Pepperidge Farm Goldfish Baked Snack Crackers Parmesan,17.29,11.16,64.7
167596,Pepperidge Farm Goldfish Baked Snack Crackers Pizza,18.93,9.67,65.11
167597,Rudis Gluten-Free Bakery Original Sandwich Bread,10.7,3.13,52.83
167598,Udis Gluten Free Soft & Delicious White Sandwich Bread,8.02,5.4,51.15
167599,Udis Gluten Free Soft & Hearty Whole Grain Bread,9.34,7.25,49.09
167600,Udis Gluten Free Whole Grain Dinner Rolls,11.6,11.8,44.29
167601,Vans Gluten Free Totally Original Pancakes,4.55,3.31,40.32
167602,Seaweed Canadian Cultivated Emi-Tsunomata Dry,1.39,15.34,46.24
167603,Seaweed Canadian Cultivated Emi-Tsunomata Rehydrated,0.17,1.86,5.62
167604,Potatoes Hash Brown Refrigerated Unprepared,0.08,1.75,19.16
167605,Potatoes Hash Brown Refrigerated Prepared Pan-Fried In Canola Oil,10.3,3.24,33.99
167606,Sweet Potatoes French Fried Frozen As Packaged Salt Added In Processing,8.92,2.16,35.58
167607,Moose Meat Raw (Alaska Native),1.5,22.3,0
167608,Mashu Roots Raw (Alaska Native),2.4,5.8,22.6
167609,Moose Liver Braised (Alaska Native),4.89,24.38,3.43
167610,Seal Bearded (Oogruk) Meat Raw (Alaska Native),0.4,26.7,0
167611,Oil Bearded Seal (Oogruk) (Alaska Native),99.6,0.56,0
167612,Oopah (Tunicate) Whole Animal (Alaska Native),2.2,11.7,0
167613,Owl Horned Flesh Raw (Alaska Native),5,22.7,0
167614,Fish Salmon King Chinook Smoked And Canned (Alaska Native),5.9,23.2,0
167615,Fish Salmon King Chinook Smoked Brined (Alaska Native),30,39.9,0
167616,Fish Salmon King Chinook Liver (Alaska Native),8,16.6,4.3
167617,Duck Scoter White-Winged Meat (Alaska Native),0.4,20.2,0
167618,Sea Cucumber Yane (Alaska Native),0.4,13,0
167619,Squirrel Ground Meat (Alaska Native),3.8,19.3,0
167620,Tea Tundra Herb And Laborador Combination (Alaska Native),0,0,0.2
167621,Walrus Meat Dried (Alaska Native),2.6,57,0
167622,Deer (Venison) Sitka Raw (Alaska Native),2.66,21.5,0
167623,Whale Bowhead Subcutaneous Fat (Blubber) (Alaska Native),96.5,0.4,0
167624,Whale Bowhead Skin And Subcutaneous Fat (Muktuk) (Alaska Native),46.1,12.6,0
167625,Oil Whale Bowhead (Alaska Native),100,0,0
167626,Fish Whitefish Broad Liver (Alaska Native),4.4,11,5.1
167627,Mush Blue Corn With Ash (Navajo),0.49,0.66,11.74
167628,Cornmeal Blue (Navajo),5.44,10.4,76.93
167629,Melon Banana (Navajo),0.2,0.84,4.06
167630,Chilchen (Red Berry Beverage) (Navajo),0.63,0.81,8.68
167631,Corn Dried (Navajo),5.22,9.88,74.93
167632,Squash Indian Cooked Boiled (Navajo),0.15,0.31,3.22
167633,Bread Kneel Down (Navajo),2.21,4.29,39.47
167634,Mutton Cooked Roasted (Navajo),11.09,33.43,0.08
167635,Frybread Made With Lard (Navajo),12.22,6.69,48.26
167636,Tamales (Navajo),6.12,6.28,18.12
167637,Stew Steamed Corn (Navajo),3.75,8.82,10.8
167638,Fish Halibut Raw With Skin (Alaska Native),2.92,20.53,1.81
167639,Fish Salmon Coho (Silver) Raw (Alaska Native),5.57,22.56,0
167640,Blueberries Wild Raw (Alaska Native),0.76,1.22,12.31
167641,Oil Spotted Seal (Alaska Native),99.32,0,0
167642,Fish Salmon Red Canned Bones Removed (Alaska Native),5.76,27.31,0
167643,Fish Whitefish Eggs (Alaska Native),2.88,14.66,4.89
167644,Caribou Rump Meat Half Dried (Alaska Native),5.23,52.06,0
167645,Fish Salmon Red (Sockeye) Canned Smoked (Alaska Native),7.26,35.19,0
167646,Fish Salmon Red (Sockeye) Kippered (Alaska Native),4.75,24.5,0
167647,Fish Salmon King With Skin Kippered (Alaska Native),12.95,23.19,0
167648,Fish Sheefish Raw (Alaska Native),2.84,22.25,0
167649,Buffalo Free Range Top Round Steak Raw (Shoshone Bannock),1.3,21.44,0
167650,Seal Bearded (Oogruk) Meat Partially Dried (Alaska Native),2.31,62.38,0
167651,Buffalo Free Range Top Round Steak Cooked (Shoshone Bannock),1.8,32.51,0
167652,Elk Free Range Roast Eye Of Round Raw (Shoshone Bannock),2.1,19.74,0
167653,Corn Dried Yellow (Northern Plains Indians),10.64,14.48,66.27
167654,Smelt Dried (Alaska Native),17.9,56.19,0
167655,Frybread Made With Lard (Apache),10.14,8.38,46.01
167656,Corned Beef And Potatoes In Tortilla (Apache),8.31,7.91,29.35
167657,On The Border Soft Taco With Ground Beef Cheese And Lettuce,11.05,13.19,19.28
167658,Restaurant Mexican Soft Taco With Ground Beef Cheese And Lettuce,10.81,12.56,17.92
167659,Restaurant Latino Chicken And Rice Entree Prepared,5.06,12.02,20.03
167660,Restaurant Latino Empanadas Beef Prepared,18.37,11.31,31.19
167661,Restaurant Latino Pupusas Con Frijoles (Pupusas Bean),9.01,5.59,31.49
167662,Restaurant Latino Pupusas Con Queso (Pupusas Cheese),13.25,11.72,22.39
167663,Restaurant Latino Pupusas Del Cerdo (Pupusas Pork),10.43,11.51,23.02
167664,Restaurant Latino Tamale Corn,7.21,3.48,26.68
167665,Restaurant Mexican Spanish Rice,5.29,3.28,31.16
167666,Restaurant Mexican Refried Beans,6.77,6.91,16.79
167667,Restaurant Chinese Egg Rolls Assorted,11.94,8.28,27.29
167668,Restaurant Chinese Fried Rice Without Meat,2.96,4.05,32.79
167669,Cracker Barrel Steak Fries,13.18,3.26,30.87
167670,Cracker Barrel Grilled Sirloin Steak,8.52,31.52,0
167671,Cracker Barrel Macaroni N Cheese Plate From Kids Menu,11.51,6.46,15.58
167672,Dennys French Fries,14.13,3.41,35.2
167673,Dennys Top Sirloin Steak,7.34,28.9,0.14
167674,Restaurant Chinese Lemon Chicken,13.55,11.87,20.61
167675,Restaurant Chinese General Tsos Chicken,16.36,12.9,23.99
167676,Restaurant Chinese Kung Pao Chicken,6.98,9.76,6.87
167677,Restaurant Chinese Vegetable Lo Mein Without Meat,2.35,4.77,20.16
167678,Restaurant Chinese Chicken And Vegetables,4.56,8.18,5.38
167679,Restaurant Chinese Orange Chicken,12.68,14.46,22.46
167680,Restaurant Italian Spaghetti With Meat Sauce,3.59,5.79,16.4
167681,Fruit-Flavored Drink Dry Powdered Mix Low Calorie With Aspartame,0.04,0.45,87.38
167682,Pectin Liquid,0,0,2.1
167683,Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated,10.1,6.4,26.11
167684,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie,14,1.5,7
167685,Bologna Beef And Pork Low Fat,19.3,11.5,2.6
167686,Milk Dessert Frozen Milk-Fat Free Chocolate,1,4.3,37.7
167687,Whipped Topping Frozen Low Fat,13.1,3,23.6
167688,Cream Substitute Powdered Light,15.7,1.9,73.4
167689,Mars Snackfood Us M&Ms Peanut Butter Chocolate,29.32,10.16,56.89
167690,Babyfood Apple Yogurt Dessert Strained,1.6,0.8,19.5
167691,Vegetable Oil-Butter Spread Reduced Calorie,53,0,0
167692,Salad Dressing Blue Or Roquefort Cheese Dressing Light,2.7,2.1,13.2
167693,Salad Dressing French Dressing Reduced Calorie,13,0.4,27
167694,Turkey And Pork Sausage Fresh Bulk Patty Or Link Cooked,23,22.7,0.7
167695,Mayonnaise Made With Tofu,31.79,5.95,3.06
167696,Frankfurter Beef Low Fat,9.5,12,1.6
167697,Milk Buttermilk Fluid Cultured Reduced Fat,2,4.1,5.3
167698,Pork Sausage Rice Links Brown And Serve Cooked,37.63,13.7,2.36
167699,Salad Dressing Blue Or Roquefort Cheese Dressing Fat-Free,1.01,1.52,25.6
167700,Salad Dressing Mayonnaise-Like Fat-Free,2.7,0.2,15.5
167701,Mars Snackfood Us Milky Way Midnight Bar,17.5,3.2,71.22
167702,Flaxseed Oil,99.98,0.11,0
167703,Cheese Cottage Lowfat 1% Milkfat Lactose Reduced,1,12.4,3.2
167704,Salad Dressing Bacon And Tomato,35,1.8,2
167705,Grated Parmesan Cheese (Low-Sodium),29.99,41.6,3.7
167706,Jams Preserves Marmalade Reduced Sugar,0.1,0,37.6
167707,Fruit-Flavored Drink Powder With High Vitamin C With Other Added Vitamins Low Calorie,0.16,0.25,91
167708,Tomato And Vegetable Juice Low Sodium,0.1,0.6,4.59
167709,Turkey Wing Smoked Cooked With Skin Bone Removed,12.41,27.4,0
167710,Turkey Drumstick Smoked Cooked With Skin Bone Removed,9.8,27.9,0
167711,Chocolate-Flavored Drink Whey And Milk Based,0.4,0.64,10.68
167712,Pork Cured Bacon Cooked Broiled Pan-Fried Or Roasted Reduced Sodium,41.78,37.04,1.43
167713,Turkey Light Or Dark Meat Smoked Cooked Skin And Bone Removed,5,29.3,0
167714,Hearts Of Palm Raw,0.2,2.7,25.61
167715,Post Shredded Wheat N Bran Spoon-Size,2.06,10.93,80.65
167716,Cheese Cottage Lowfat 1% Milkfat With Vegetables,1,10.9,3
167717,Yeast Extract Spread,0.9,23.88,20.42
167718,Babyfood Juice Pear,0,0,11.86
167719,Chicken Meatless Breaded Fried,12.77,21.28,8.51
167720,Babyfood Meat Beef With Vegetables Toddler,2.1,3.5,8.72
167721,Frozen Novelties Juice Type Juice With Cream,1.41,1.41,24.11
167722,Tofu Yogurt,1.8,3.5,15.96
167723,Alcoholic Beverage Rice (Sake),0,0.5,5
167724,Millet Puffed,3.4,13,80
167725,Oat Bran Flakes Health Valley,3,10,78
167726,Babyfood Mixed Fruit Yogurt Strained,0.8,0.8,16.23
167727,Abbott Ensure Plus Ready-To-Drink,4.52,5.16,19.88
167728,Babyfood Rice And Apples Dry,2.4,6.7,86.89
167729,Babyfood Juice Apple - Cherry,0.1,0.2,11.2
167730,Milk Imitation Non-Soy,2,1.6,5.3
167731,Babyfood Cereal Rice With Pears And Apple Dry Instant Fortified,0.9,6.6,88.5
167732,Babyfood Banana No Tapioca Strained,0.2,1,21.34
167733,Babyfood Banana Apple Dessert Strained,0.2,0.3,16.3
167734,Breakfast Bar Corn Flake Crust With Fruit,7.5,4.4,72.8
167735,Cheese Mozzarella Low Sodium,17.1,27.5,3.1
167736,Mayonnaise Dressing No Cholesterol,77.8,0,0.3
167737,Oil Corn Peanut And Olive,100,0,0
167738,Pie Fillings Blueberry Canned,0.2,0.41,44.38
167739,Cocktail Mix Non-Alcoholic Concentrated Frozen,0.01,0.08,71.6
167740,Puddings Chocolate Flavor Low Calorie Regular Dry Mix,3,10.08,74.42
167741,Puddings All Flavors Except Chocolate Low Calorie Regular Dry Mix,0.1,1.6,86.04
167742,Scallops,0.84,20.54,5.41
167743,Syrup Cane,0,0,73.14
167744,Mollusks Snail Raw,1.4,16.1,2
167745,Turtle Green Raw,0.5,19.8,0
167746,Lemons,0.3,1.1,9.32
167747,Lemon Juice Raw,0.24,0.35,6.9
167748,Lemon Juice From Concentrate Canned Or Bottled,0.07,0.45,5.62
167749,Lemon Peel Raw,0.3,1.5,16
167750,Prickly Pears,0.51,0.73,9.57
167751,Plums Dried (Prunes) Stewed Without Added Sugar,0.16,0.96,28.08
167752,Plums Dried (Prunes) Stewed With Added Sugar,0.22,1.09,32.88
167753,Shredded Coconut Meat (Sweetened),0.03,0.61,17.45
167754,Pummelo,0.04,0.76,9.62
167755,Raspberries,0.65,1.2,11.94
167756,Raspberries Canned Red Heavy Syrup Pack Solids And Liquids,0.12,0.83,23.36
167757,Raspberries Frozen Red Sweetened,0.16,0.7,26.16
167758,Rhubarb,0.2,0.9,4.54
167759,Sapodilla,1.1,0.44,19.96
167760,Mamey Sapote,0.46,1.45,32.1
167761,Soursop,0.3,1,16.84
167762,Strawberries,0.3,0.67,7.68
167763,Tamarinds,0.6,2.8,62.5
167764,Fruit Salad (Pineapple And Papaya And Banana And Guava) Tropical Canned Heavy Syrup Solids And Liquids,0.1,0.41,22.36
167765,Watermelon,0.15,0.61,7.55
167766,Maraschino Cherries (Canned),0.21,0.22,41.97
167767,Pineapple Canned Juice Pack Drained,0.11,0.51,15.56
167768,Apricots Canned Heavy Syrup Drained,0.11,0.64,21.31
167769,Cherries Sour Canned Water Pack Drained,0.21,0.69,10.45
167770,Cherries Sweet Canned Pitted Heavy Syrup Drained,0.21,0.73,21.07
167771,Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid,0.13,0.1,11.3
167772,Applesauce Canned Unsweetened With Added Ascorbic Acid,0.1,0.17,11.27
167773,Applesauce Canned Sweetened With Salt,0.18,0.18,19.91
167774,Pink Grapefruit Juice,0.1,0.5,9.2
167775,Apple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water With Added Ascorbic Acid,0.1,0.14,11.54
167776,Bartlett Pears,0.16,0.39,15.01
167777,Red Anjou Pears,0.14,0.33,14.94
167778,Bosc Pear,0.09,0.36,16.1
167779,Green Anjou Pear,0.1,0.44,15.79
167780,Prune Puree,0.2,2.1,65.1
167781,Candied Fruit,0.07,0.34,82.74
167782,Abiyuch,0.1,1.5,17.6
167783,Rowal,2,2.3,23.9
167784,Guava Nectar Canned With Added Ascorbic Acid,0.06,0.09,16.25
167785,Mango Nectar Canned,0.06,0.11,13.12
167786,Tamarind Nectar Canned,0.12,0.09,14.73
167787,Pomegranate Juice Bottled,0.29,0.15,13.13
167788,Nance Canned Syrup Drained,1.28,0.56,22.79
167789,Nance Frozen Unsweetened,1.16,0.66,16.97
167790,Naranjilla (Lulo) Pulp Frozen Unsweetened,0.22,0.44,5.9
167791,Horned Melon (Kiwano),1.26,1.78,7.56
167792,Orange Pineapple Juice Blend,0.08,0.41,12.2
167793,Fuji Apples,0.18,0.2,15.22
167794,Orange Juice Chilled Includes From Concentrate With Added Calcium And Vitamins A D E,0.12,0.68,11.54
167795,Fruit Juice Smoothie Naked Juice Mighty Mango,0,0.42,15
167796,Fruit Juice Smoothie Naked Juice Green Machine,0.26,0.6,12.53
167797,Fruit Juice Smoothie Bolthouse Farms Berry Boost,0.02,0.63,10.9
167798,Fruit Juice Smoothie Bolthouse Farms Green Goodness,0.33,0.63,13.04
167799,Fruit Juice Smoothie Bolthouse Farms Strawberry Banana,0.3,0.44,12.37
167800,Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid Calcium And Potassium,0.17,0.12,11.49
167801,Lemon Juice From Concentrate Bottled Concord,0.07,0.4,5.37
167802,Lemon Juice From Concentrate Bottled Real Lemon,0.07,0.47,5.66
167803,Cranberry Sauce Whole Canned Ocean Spray,0.05,0.75,40.4
167804,Cranberry Sauce Jellied Canned Ocean Spray,0.04,1.05,40.61
